text,label
"Mohon maaf teman2 Afganisme, jadwal Afgan hari ini di Ini Talkshow direschedule karena satu dan lain hal. Ditunggu jadwal selanjutnya :)",-1
detikcom Lima Fakta tentang Afgan: Afgan Syahreza dikenal sebagai salah satu solois bertalenta Tanah Air. Nama... http://bit.ly/1w1aDk2 ,1
Woho!! Milyaran Hadiah siap dibagi2 Afgan! Info Selengkapnya http://bit.ly/DariHati  atau hub *123*9359*1# (XL) http://ow.ly/i/8FNAg ,1
"http://www.tabloidbintang.com/articles/berita/polah/18527-wah-berat-badan-afgan-turun-19-kilogram ? Wah, Berat Badan Afgan Turun 19 Kilogram",-1
"Wah, Berat Badan Afgan Turun 19 Kilogram: Beberapa bulan tidak bertemu Afgan Syahreza (25), kami pangling. Dia... http://tinyurl.com/kftjjgw ",1
Kangen malam mingguan minggu kemarin akakakakak~ ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/1ac38d ,1
Hingga kau sadari sesungguhnya yang kau punya hanya aku tempatmu kembali?? ? Sadis by Afgan ? https://path.com/p/12VKe6 ,-1
Princess pasti akan menemukan pangerannya yang entah kapan datangnya? ? Jodoh Pasti Bertemu by Afgan (w/ Inez) ? https://path.com/p/4zQrs6 ,1
Favorite bgttt!! ???? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/1AfTdM ,1
"Kau tempatku meminta, Kau beriku bahagia. Ampuniku ya Allah, yg sering? ? Padamu Ku Bersujud by Afgan ? https://path.com/p/4iw8Yd ",1
dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6 ,1
Yayaya jodoh pasti bertemu? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/3EHb9L ,1
"Dari sekian duetnya Afgan, menurutku duet dgn teh ocha ini yg feelnya dapet bgt.? ? Kamu Yang Kutunggu by Rossa ? https://path.com/p/3xeP5B ",1
Thanks yaaa Afganisme yg udh nonton KonserDariHati Afgan :) I love you guys! [pic] ? https://path.com/p/4uarpJ ,1
Pliiis atuhlah pengen banget bunuh orang ?? ? Sabar by Afgan ? https://path.com/p/1VUm4E ,-1
kalo ga jodoh yaa sekeras apapun mencoba tetep gabisa tapi kalo jodoh pasti? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/1cFMTO ,1
Asli ini mah sedihnya. Gabisa move on:'( ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/10lSGX ,-1
Gue baru denger sekali ini tapi keren banget afgannya minta di jadiin suami ? ? Knock Me Out by Afgan ? https://path.com/p/3RNg6O ,1
"Lukisan yg saya buat itu, jenis kelaminnya betina. Ya' pasti dia senenglah, wong di pegang mulu sama Afgan. Nyess. :| ",1
Kalo kata afgan jodoh pasti bertemu... kalo ga sekarang ya pasti di pelaminan.? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/1jUlC8 ,1
Da aku mah apa atuh ya yang lain seneng2 saturday night. Aku si deger lagu ini aja.? ? Sabar by Afgan ? https://path.com/p/2QYQxT ,-1
"Kamuuu,dikirim tuhan untuk melengkapi ku tuk jaga hatiku ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/1MvHMz ",1
Versi nya ini lebih nyentuh duhh? AFGAN - One Last Cry (Waku Waku Japan Music Festi?: http://youtu.be/xbnJYfJ7MhQ ,1
Kamu yang aku tunggu yan? ? Kamu Yang Kutunggu (with Afgan) by Rossa (with Ryan) ? https://path.com/p/22AYUW ,1
Nyanyi ah *cintaa..ku bukanlah cinta biasaaa ayeyyeyeye .. ?? gutnite -*- ? Bukan Cinta Biasa by Afgan ? https://path.com/p/2OgLGy ,1
Katakan tdk pd selingkuh... Katakan tdk pd mendua... Katakan tdk pd semua... Yang? ? Katakan Tidak by Afgan ? https://path.com/p/1QIWmE ,1
"Lagu fav sepanjang masa! Kalau gasetuju, aku gapeduli?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/YflcL ",1
Sabar sabarlah cintaku Hanya sementara kau harus dengannya kau harus bersamanya kini? ? Sabar by Afgan ? https://path.com/p/41ooY3 ,-1
Mencari cinta sejati tak kutemukan ??? ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/3Gqx7s ,-1
"Entah kapankah itu,menunggu itu lebih baik dari mencari,?? ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/15tpWQ ",-1
Demi deh malam mingguan ditemenin sama konser afgan juga udah puas akumah. Udah lebih dari cukup.? [pic] ? https://path.com/p/1IrHaW ,1
jika kamu yang temaniku seumur hidupku ? Bukan Cinta Biasa by Afgan ? https://path.com/p/3hvimQ ,1
Selamat malam jodoh? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/19hVOb ,1
kalo ngmng sadeessssss bgt ? Afgan kalee ah sades-_- http://ask.fm/a/bpbe6bl4 ,-1
Saya suka video @YouTube http://youtu.be/xKcW3LfBi_A?a  Afgan - Betapa Aku Cinta Padamu (Lyric),1
Edisi galau malam minggu ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/nrLjm ,-1
#aurruz <3 #Afgan Ingin Go International & Duet dengan Adele http://www.aurruz.com/topic/4310/afgan-ingin-go-international-duet-dengan-adele/new/posts/ ? 3:) ,1
Semoga tuhan membalas semua yg terjadi. Huakakakakak. ? Sadis by Afgan ? https://path.com/p/1Z3QQ7 ,-1
"Krn kini, ku tlah jatuh cintaaaaaa ? Pesan Cinta by Afgan (at @themakassarcity) ? https://path.com/p/2poDEb ",1
Beginilah efek @kvinjulio gaada di @aspggs. Ada yg nyetel @trans7 nonton konser Afgan. Ada yg nyetel @whatsonantv nonton bollyvaganza,-1
Andai engkau tahu betapa ku mencinta . Selalu menjadikanmu isi dalam doaku ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/2NunPv ,1
Rela deh demi nntn konsernya afgan di tv gak mamingan kemana-mana (at Golden Paradise Cilegon B2/03) ? https://path.com/p/25ikpF ,1
Sadishhhh gak sih ntan??????????? ? Sadis by Afgan (with Intan) ? https://path.com/p/10XGhB ,-1
Terimakasih Cinta Untuk Segalanya... Kau Berikan Lagi Kesempatan itu ~Afgan,1
....... ? Katakan tidak pada selingkuh Katakan tidak pada mendua Katakan tidak pada? ? Katakan Tidak by Afgan ? https://path.com/p/1G2UoH ,1
"Ternyata, kamu yang kutunggu???? ? Kamu Yang Ku Tunggu (with Afgan) by Rossa ? https://path.com/p/34O4Iv ",1
Nonton konser Afgan sambil kerjain orderan yg makin numpuk cuz kmrn seharian g mood menggambar..tadinya sih? ? https://path.com/p/4di3hR ,-1
"setelah sebulan doyan, baru tau judulnya ? ? Demi Kamu dan Aku (feat. Afgan) by Sherina ? https://path.com/p/yOiaH ",1
Kau jauh  Mengapa terasa begitu jauh  Padahal kau ada di depanku Tersenyum kepadaku tapi tetap? ? Jauh by Afgan ? https://path.com/p/2xqtFB ,-1
Semoga tuhan membalas semua yang terjadi kepada mu suatu saat nanti hingga kau sadari? ? Sadis by Afgan ? https://path.com/p/4wkUis ,1
Kerreeennn!! ?? Seharusnya nonton d konser langsung yah! ? ? Sadis by Afgan ? https://path.com/p/3U39Kt ,1
"Kalo denger lagu ini, disitu kadang saya merasa sedih ??? ? Sadis by Afgan ? https://path.com/p/3JLxKD ",-1
Malam minggu nonton konsernya Afgan serasa ga jomblo (at Kecamatan Gondang) ? https://path.com/p/1jlado ,1
Mantan aku dikieukieu:(?@infowatir: Karunya @detikcom: Afgan Bersyukur Pernah Jd Korban Begal http://tinyurl.com/qxwlmvz  ?,1
"Tuhkan kata ""abang"" afgan juga ?semoga tuhan membalas semua yg terjadi kepadaku suatu saat? ? Sadis by Afgan ? https://path.com/p/3H9UkB ",1
Ku tauuu. kau selingkuhh. kau dua kan cintaku yang tulus?? ? Entah by Afgan ? https://path.com/p/39RZbw ,-1
yaelah mau nonton si abang malah udahan????? ? Knock Me Out by Afgan ? https://path.com/p/zkjvp ,-1
Da jomblo mah gini nihhh :( ? Terima Kasih Cinta by Afgan (with Intan) ? https://path.com/p/28GZIL ,-1
Katakan tidak pada selingkuh ??? ? Katakan Tidak by Afgan ? https://path.com/p/2Z0gbt ,1
terus aja maen coc ? ? Sabar by Afgan (with Agung Kusumah) ? https://path.com/p/3helGi ,1
aduuuhh afgan nyanyiii nya :D *konserafgan ? Sadis by Afgan ? https://path.com/p/30aI5c ,1
"Hingga kau sadari, hanya aku tempatmu kembali? sadis. ? Sadis by Afgan (at Perumahan Bekasi Jaya Indah) ? https://path.com/p/2REF9l ",-1
Malem minggu lagunya gini bang...? ? Sadis by Afgan (at ?) ? https://path.com/p/drh7W ,-1
"Hanya akuuuuu, tempatmu kembaliiii ~ ? Sadis by Afgan ? https://path.com/p/3bDvAO ",1
Gantengnya jangan sadis sadis lah mas afgan ?? ? Sadis by Afgan ? https://path.com/p/4cck7R ,1
sadiiisss !!! jadi inget waktu kita ketemu di purwokerto gan ? ? Sadis by Afgan ? https://path.com/p/cn6nR ,1
"Liat ini di trans7 dinyanyikan langsung oleh afgan, langsung nangis maaat. Emboh tibakno? ? Sadis by Afgan ? https://path.com/p/3COurg ",1
Masih ingatkah kamu tentang kisah yg pernah terjadi secara singkat dan pada akhirnya engkau? ? Sadis by Afgan ? https://path.com/p/1ALsjd ,-1
Terlalu sadis caramu menjadikan diriku Pelampiasan Semoga Tuhan membalas semua yg terjadi? ? Sadis by Afgan ? https://path.com/p/oY4V2 ,-1
Semoga tuhan membalas semua yang terjadiiiiii ? Sadis by Afgan ? https://path.com/p/2blqdi ,1
"Sabar sabarlah cintaku, hanya sementara.. ? Sabar by Afgan ? https://path.com/p/uBge3 ",-1
Hingga kau sadari sesungguhnya yang kau punya hanya aku tempatmu kembali.. ? Sadis by Afgan ? https://path.com/p/1xBSTE ,1
Tega niannya caramu... *efek nonton konsernya afgan* ^^V ? Sadis by Afgan ? https://path.com/p/28vzwZ ,-1
malming? iya nih. sama afgan?? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/1hEBQd ,1
? tanpa peduli sakitnya akuuu~~ #KonserDariHatiAfgan ? Sadis by Afgan ? https://path.com/p/3aYHHf ,-1
"gak usah main tebak lagi,malesin ? Lagi serius liat afgan. Please ngerti ya:( http://ask.fm/a/bndm3a6d ",-1
Selamat utk adekku Zana Roli Afgan kamu sudah menunjukak sikap kedewasaan dan kebijaksaanan yg hebat. Kamu Pemimpin yg istimewa Salam hormat,1
Suaranya??? melting?? Iyaiyaiya kaka??? ? Knock Me Out by Afgan ? https://path.com/p/2YtlSF ,1
Terimakasih cinta untuk selaganya~?? ? Terima Kasih Cinta by Afgan (at @mymagnumid) ? https://path.com/p/1mODkc ,1
"Katakan tidak pada selingkuh, katakan tidak pada mendua ??? ? Katakan Tidak by Afgan ? https://path.com/p/2LMpC ",1
Berharap suatu saat nanti @Ify_blink @ifyalyssa bisa ngadain konser kaya Afgan,1
"Finally, Neng nemuin jg nih cemilannya a eka hehe.. Nemenin malem minggu nonton aa afgan ? (with Eka) [pic] ? https://path.com/p/Xgcq3 ",1
#NowWatching Mas ganteng yg menemaniku sabtu malam ini ? Betapa Aku Cinta Padamu by Afgan ? https://path.com/p/2uS25y ,1
Sok sok romantis yakan. Nontonnya afgan ? Demi Kamu dan Aku by Afgan ? https://path.com/p/FfRlM ,1
"Oh Tuhan, tolong aku sampaikan Pesan ini padanya Agar dia tahu bahwa kini Aku jatuh cinta #Afgan ~Pesan Cinta",1
"terlalu banyak drama, liat konser afgan ajaaa yeshhh ? ? Demi Kamu dan Aku by Afgan ? https://path.com/p/1g3olJ ",1
"Ini mah siapa tau ada yg nyariin (geer),, trisa nya lagi tapa (baca : nonton yayank afgan lg konser).. ? [pic] ? https://path.com/p/2pRqC3 ",1
"Segala kekurangan , semua kelemahan kau jadikan cinta.. ? Kamu Yang Ku Tunggu (with Afgan) by Rossa (w/ Andika) ? https://path.com/p/3Y8hBL ",-1
2 bulan Afgan off dari job nyanyi buat nyiapin konser tunggalnya. Ga heran kalo hasilnya seperfect itu ?,1
"Idem ""@bear_passion: malam minggunya dikosan aja. sendirian. nonton afgan.  yasudahlah """,-1
Satnite sama afgan ceritanya ??? ? Betapa Aku Cinta Padamu by Afgan (at dhilss room's?) ? https://path.com/p/1en7yf ,1
Terima kasih cinta untuk segalanya kau berikan lagi kesempatan itu.takkan? ? Terima Kasih Cinta by Afgan ? https://path.com/p/44hgjI ,1
Emang ga salah ngefans sama afgan dari sd sampe skrg. Konser dari Hati? ? Betapa Aku Cinta Padamu by Afgan ? https://path.com/p/45trXT ,1
Kalo afgan bikin konser tunggal gitu kan keren ya. Udah jelas penyanyi trs ada album. Lah ada yg belom apa2 uda konser. Mungkin dia zuper :),1
Jika aku bukan jalanmu.. Ku berhenti mengharapkanmu..Sekian~ ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/ihdf2 ,-1
terimakasih trans 7 nayangin #KonserDariHati selama 2 minggu berturut turut? ? Betapa Aku Cinta Padamu by Afgan ? https://path.com/p/nVHBx ,1
Hey my dear? ? Kamu Yang Ku Tunggu (with Afgan) by Rossa ? https://path.com/p/24g8Eh ,1
"@OZRadioJakarta mau request lagu barunya @afgansyah_reza yg Knock Me Out! Congrats juga ya buat Afgan, konser perdananya sukseeees.",1
"@andi_chairil Panggung Afgan, kok, terlihat kecil dan sesek, ya? ",-1
"Kak, ikt kuis afgan yuk, yg sunslik itu ? Ya gilaaa gue udh hijab, rambut juga gak lurus -_- http://ask.fm/a/c25j7oia ",-1
Malem minggu? Ohh.. yaudahh dirumah aja ditemani aa afgan yaa kan.. *biasanyajugagimnasihmbloo* ? [pic] ? https://path.com/p/1A7l97 ,-1
Yg bikin males kemana2 hari ini Konser Dari Hati AFGAN :* (with Yodie at Yodieandliya's Castle) ? https://path.com/p/1E4W4E ,1
"Nonton re-run nya konser dari hatinya afgan dr rumah...  Hebat kaaan... gak? (w/ nuii, Anggun, & 2 others) ? https://path.com/p/1mNKA3 ",1
Gara2 ngarep ada Gigi di The Blusukan gue ketinggalan liat Afgan nyanyi Terima Kasih Cinta acapella version di Trans7. Huasyeeeem! ??,-1
Satnite nonton Konser Dari Hati Afgan beuuuhhh ????? ? Knock Me Out by Afgan ? https://path.com/p/3NGuhR ,1
"Untukmu aku kan bertahan ""sodara"" ? Untukmu Aku Bertahan by Afgan (with luthfia) ? https://path.com/p/2CNMBv ",-1
"Malam minggu katanya asyik buat pacaran. Mungkin kali ini pas ya, acara tv konser afgan yang? (at SAMBAS) ? https://path.com/p/bNFxn ",1
1. Jojo Terlalu hati-hatiko kali ini nyanyi Dek. #grandfinal #IndonesianIdolJunior ? Bukan Cinta Biasa by Afgan ? https://path.com/p/24Lygi ,-1
Terimakasih cinta untuk segalanya. ? Terima Kasih Cinta by Afgan ? https://path.com/p/mGfgQ ,1
Malam Mingguannya di IGD Sambil Nonton Konser Dari Hati Afgan Episode 01 ??? (at Rumah Sakit Wirabhakti) [pic] ? https://path.com/p/RY95 ,-1
"Daa akumah nonton afgan aja, lagi baper disuruh sabar -_- ? Sabar by Afgan ? https://path.com/p/3Q7X25 ",-1
Eh ini concert afgan cuma pke band aj ya?? Trus ngapain konsultasi ke erwin gutawa ya? Kirain? (at Golden hills) ? https://path.com/p/qryJN ,-1
Afgaaaaaaaaaaaaaaaannnnnnnn ?? ? Kamu Yang Ku Tunggu (with Afgan) by Rossa ? https://path.com/p/47xD5e ,1
Wajahmu mengalihkan belajarku ? ? Ku Mohon by Afgan ? https://path.com/p/KZNUg ,1
Cuman bisa nntn konsernya afgan di tv doang ?? (with Arez) [pic] ? https://path.com/p/2NgQq ,-1
"Nonton konser Afgan dulu ahh cus he's my favorite male singer. Ini baru namanya konser, lagunya bnyak n ngehits lg.... Ayyee!",1
"Kutes dulu suaraku, siapa tau baguspih dari apgang ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2W4uxp ",1
Hampir ja kelupaaannn kalo malam ini acara nya... Tenkiu Gonyaaaaa... DP mu? ? Pesan Cinta by Afgan (w/ Sunnya) ? https://path.com/p/4nD0il ,1
Keren euy konser'y afgan di trans7 ??? muda?han harapan aku 1 atw 2 tahun lagi @FatinSL bisa bikin konser tunggal yg besar @SonyMusicID,1
"Sedari tadi bicarakan tentang Afgan, tau tau Afgan nongol di Trans7 sekarang. hmm.. seperti ada kontak bathin. #jleb ",1
Saat nya nonton konser afgan di trans 7 yah namanya juga fans kere ga bisa nonton langsung ekwkwkwk ????? [pic] ? https://path.com/p/1eVDcv ,-1
Bantu aku temukan cara tuk mendapatkan diaaaaa.? Afgan ganteng kaleeeee ya? ? Pesan Cinta by Afgan (w/ andrine) ? https://path.com/p/49fHWf ,1
"Kamu kurusan yangg, jelek loh.. Gemukin gih ? ? Pesan Cinta by Afgan ? https://path.com/p/1Ly246 ",-1
Agar dia tahu bahwa kini aku jatuh cinta ? ? Pesan Cinta by Afgan ? https://path.com/p/2PBIS0 ,1
"Liat konser afgan d trans7 jdi teringat masa kepo liat afgan di tiara sampek tejongkok"" sama pika? (w/ Bagus) ? https://path.com/p/1CAPd6 ",1
Ternyata .. kamu yg kutunggu :3 ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/fo9th ,1
Karena kini kutlah jatuh cinta ? Pesan Cinta by Afgan ? https://path.com/p/2P6ibw ,1
Karna kini ku tlah jatuh cintaaa?? ? Pesan Cinta by Afgan ? https://path.com/p/3FjpRH ,1
Agar dia tahu bahwa kini aku Jatuh Cinta ! ? Pesan Cinta by Afgan ? https://path.com/p/2uk74d ,1
Tolong sampaikan pesan ini padanya agar dia tahu bahwa kini aku jatuh cinta??? ? Pesan Cinta by Afgan (w/ Shofa) ? https://path.com/p/1f5hVz ,1
Setelah penyesalan ga nonton live konser afgan. Setidaknya Trans 7 menyediakan? (at Gang Bidan Yati) ? https://path.com/p/eY7ek ,1
"Terima kasih cinta, untuk segalanya. ? Terima Kasih Cinta by Afgan ? https://path.com/p/1iSp4 ",1
"Cuman bisa liat konser afgan di mobil aja, aku udh bahagia. Alhamdulillah ???? [pic] ? https://path.com/p/2auhUj ",1
belum Afdol klo belum nonton Afgan #UdahAhBosenPostingAfganMulu #NamanyaJugaUsaha #Bismillah? [pic] ? https://path.com/p/3Cxzrf ,1
Kata afgan juga jodoh pasti bertemu :D ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/4piVvP ,1
#KonserDariHati abang ganteng @afgansyah_reza ??? ? Terima Kasih Cinta by Afgan ? https://path.com/p/6zN6L ,1
Lagu ini tetap di hati ? Terima Kasih Cinta by Afgan ? https://path.com/p/3htw7s ,1
Ternyata kamu yg kutunggu? ? Kamu Yang Ku Tunggu (with Afgan) by Rossa (with thoriqF.) ? https://path.com/p/3oqePB ,1
Ndlongoop ditemenin mas afgan pengen out tapi dedek2 gemesnya pada bawa gandengan :/ ? Tanpa Bahasa by Afgan ? https://path.com/p/44YEUu ,-1
Setengah jam lagi? Gak sabaaaaaaaarrrr?? ? Sabar by Afgan ? https://path.com/p/2fOn1c ,-1
Afgan Bersyukur Pernah Jadi Korban Bully http://tinyurl.com/n8gyxjj ,1
Andai aku bisa berkencan dengannya (are27) walau hanya 1 Malam. ? ? Knock Me Out by Afgan ? https://path.com/p/12RWAY ,1
"Meski gak ikut andil mempertemukan mrk, trnyata si lukisan berjodoh sama Afgan. ? ""Jodoh pasti bertemuu.. Huwoo.."" :D ",1
"Waw! :D RT @CupyDevil: @caripenulis_com @jpg_pjay yg terlihat tidak mungkin menjadi mungkin dlm karya sastra, contoh pernikahanku & Afgan :3",1
Kudu bertahan wae sampe pohon toge jd cengek???? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/1kvJmA ,-1
"Subhanalloh, baru dengar nyanyi saja suara Afgan sudah bikin merinding, bagaimana kalau Afgan adzan dan ngaji ya? >> http://youtu.be/GcYHv5K5MrE ",1
Sadissadissadis! Ampun dah punya (sensor) kek gitu. Jan sampek! ?? ? Sadis by Afgan ? https://path.com/p/BZ6hB ,-1
Dorong adek ini ke jalan raya baaang ~~~? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/zWHns ,-1
Lagu duet ter-A+wesome dari teh Rossa (Karena duet ma Afgan) :'D >Performance - Rossa ft Afgan - Kamu Yang Ku Tunggu: http://youtu.be/L4SEVuJK_eg ,1
"Konser musik ""dari hati"" afgan, bakal tayang di trans 7 bentar jam 19:00 wib. Bt yg ga sempat nnton live nya kemaren, silahkan dinikmati :)",1
"Pasti Monoers udh ga asing lg sama lagu Sadis milik Afgan! Yap, tahun ini Afgan jg meramaikan Java Jazz 2015 http://www.m-indo.com/music/clipafgan-sadis/ ?",1
"Se-jauh""nya, Se-kenal""nya, Se-pisah""nya, Se-cuek""nya, Se-gengsi""nya, kalo jodoh? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/3inG8V ",1
Kalau pengen nangis. Dengeri lagu ini aja ?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3SPykx ,1
Untuk hatimu ku kan bertahan ?:'*:') ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/NDJuz ,1
Semua ini pasti berlalu meski takkan mudah ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/LYoYP ,1
Namun kau takkan sendiri Ku ada di sini Untukmu aku akan bertahan Dalam gelap? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/36fGA4 ,1
Akhir nya punya juga lagu ini ????? ? Knock Me Out by Afgan ? https://path.com/p/3qMrK8 ,1
Serious talk Afgan ni mmg handsome orangnya!,1
Untukmu aku akan bertahan Dalam gelap takkan ku tinggalkan Engkaulah teman? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3dkpL9 ,1
Hanya kau dan aku yang tahu Arti cinta yang tlah kita punya *eakk=))?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/464y1W ,1
"pendekkalau gnteng yakin enggak mau?? ? Mau seganteng afgan kalo pendek ya bodo amat,tetep gamau eikeee http://ask.fm/a/bo7moif6 ",-1
Ost. My idiot brother.. Sumpah ini film indonesia yg bagus bgt.. Trailernya aja? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3uF5IS ,1
Sekarang sehati banget punya ade huhaaaa???? ? Untukmu Aku Bertahan by Afgan (with putri at Komplek Paspampres) ? https://path.com/p/1t9rbq ,1
Nangis senangis nangisnya org lg sedih grgr nntn my idiot brother.... ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2B9v5T ,-1
Terimakasih cinta untuk segalanyaaa? ? Terima Kasih Cinta by Afgan (with Briyan) ? https://path.com/p/3DYm8C ,1
Efek film keren lah pokoknya ? Bikin nangiissss ?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3Z9L36 ,1
Nangis nonton my idiot brother akakak ? ? Untukmu Aku Bertahan by Afgan (with Dinda) ? https://path.com/p/8epN3 ,-1
My Idot Brother sedih yaa?? ? Untukmu Aku Bertahan by Afgan (at Villa Pasir Mas Bogor) ? https://path.com/p/3wpNeM ,-1
#FunFact Moment paling mengharukan saat satu per satu orang terdekat afgan menyerahkan bouquet flowers di #KonserDariHatiAfgan minggu lalu ?,1
'tidak ada manusia yang sempurna tetapi cinta yang membuat kesempurnaan menjadi? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2F1Ird ,1
"Kedua kalinya nonton film ini dan kedua kalinya gw mewek.. My idiot brother ???? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/429oIB """,-1
My idiot brother bikin ngabisin tisuuuu??? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/1udcsM ,-1
Namun kau takkan sendiri ku ada di sini? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3IhAUj ,1
Sedih. Aja. Tiba. Tiba. ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/4iWi0G ,-1
Kenapa ya selalu mendadak mellow klo denger lagu ini ?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/19LdxY ,-1
Habis nonton my idiot brother backsound nya ini nangis nangis ?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/22F2RF ,-1
My Idiot Brother ?? Keren dah nih pilem sumpah !!! ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/4fRWyk ,1
Kedua kalinya nonton film ini dan kedua kalinya gw mewek.. My idiot brother ???? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/429oIB ,-1
Tlah kutemukan sebuah cinta yang kunantikan. Ternyata engkau yg slalu ku tunggu. Hiasi? ? Knock Me Out by Afgan ? https://path.com/p/2LM8XG ,1
Jika aku memang tercipta untukmu ku kan memilikimu..Jodoh pasti bertemu..???? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/21ZAwK ,1
Terima kasih cinta untuk segalanya kau berikan lagi kesempatan itu tak? ? Terima Kasih Cinta by Afgan (w/ Hady) ? https://path.com/p/17rR8c ,1
Tanda tanda gak diapelin. Gapapa kok gapapa?? ? Klise by Afgan ? https://path.com/p/1nyYWe ,-1
"Denger @afgansyah_reza nyanyi aja bisa bikin meleleh. Gmn jdnya kalo Afgan pantun? Liat sendiri deh, mimin ga kuat https://www.youtube.com/watch?v=GCnpXHCeofs&list=UUtD-NBe5xZyBrJPHIg8wNQQ ?",1
Sabarr din da ceuk afgan juga sabarr!! ? Sabar by Afgan (with Amaliah at Jl. Kayu Agung I) ? https://path.com/p/4FOZXH ,-1
Semua ini pasti berlalu. ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tj2Ui ,1
Yeay ada film My Idiot Brother lagi di tv....:) ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3WW6j3 ,1
